# Expansion set. Same format as words.txt:
# word | partOfSpeech | English definition | Tagalog translation | Tagalog definition | English example

# ---------------- Verb Tenses ----------------
round off|phrasal verb|To finish something pleasantly|tapusin|Tapusin nang kaaya-aya|We rounded off the day with a meal.
scrape through|phrasal verb|To pass with great difficulty|makapasa nang bahagya|Makapasa nang halos hindi|He scraped through the exam.
shrug off|phrasal verb|To treat something as unimportant|balewalain|Huwag pansinin ang bagay|She shrugged off the criticism.
single out|phrasal verb|To choose one from a group for attention|pumili|Piliin ang isa mula sa grupo|The report singles out two firms.
slot in|phrasal verb|To fit something into a schedule|isingit|Ipasok sa iskedyul|Can you slot in a call?
soldier on|phrasal verb|To continue despite difficulty|magpatuloy|Magpatuloy kahit mahirap|She soldiered on through the pain.
spell out|phrasal verb|To explain something very clearly|ipaliwanag nang malinaw|Ipaliwanag nang napakalinaw|Let me spell out the risks.
stack up|phrasal verb|To seem believable when compared|magkatuwiran|Maging kapani-paniwala|The figures do not stack up.
stem from|phrasal verb|To be caused by something|nagmula sa|Dulot ng isang bagay|The delay stems from staffing.
stumble across|phrasal verb|To find something by chance|makatuklas|Matagpuan nang di-sinasadya|I stumbled across an old letter.
tail off|phrasal verb|To decrease gradually|humina|Unti-unting bumaba|Sales tailed off in autumn.
tap into|phrasal verb|To make use of a resource|gamitin|Gamitin ang isang yaman|The campaign tapped into public anger.
thrash out|phrasal verb|To discuss until a decision is reached|talakayin|Pag-usapan hanggang magpasya|They thrashed out the terms.
tide over|phrasal verb|To help somebody through a difficult time|tulungan pansamantala|Tulungan sa mahirap na panahon|A loan tided us over.
tone down|phrasal verb|To make something less extreme|pahinain|Gawing hindi masyadong matindi|Tone down the language.
usher in|phrasal verb|To mark the beginning of something new|magpasimula|Simulan ang bagong panahon|The law ushered in real change.
water down|phrasal verb|To make something weaker|pahinain|Gawing mas mahina|The proposal was watered down.
weed out|phrasal verb|To remove unwanted people or things|alisin|Tanggalin ang hindi kailangan|We weed out weak applications.
whittle down|phrasal verb|To reduce gradually in number|bawasan|Unti-unting paliitin ang bilang|We whittled it down to five.
wind up|phrasal verb|To end something, or to annoy somebody|tapusin|Tapusin o inisin|Let us wind up the meeting.
yield to pressure|phrasal verb|To give in to force or persuasion|sumuko|Pumayag sa lakas o panghihikayat|The council yielded to pressure.

# ---------------- Clothing & Fashion ----------------
apron|noun|A garment worn to protect clothes|tapis|Damit na pananggalang sa damit|The chef wore a white apron.
blouse|noun|A woman's shirt|blusa|Kamiseta ng babae|She ironed her blouse.
boots|noun|Strong shoes covering the ankle|bota|Matibay na sapatos na sakop ang bukong-bukong|Wear boots in the mud.
cardigan|noun|A knitted jacket fastened at the front|kardigan|Nitidong dyaket na may butones|Take a cardigan for the evening.
coat|noun|An outer garment worn for warmth|amerikana|Panlabas na damit para sa init|Hang your coat by the door.
glove|noun|A covering for the hand|guwantes|Pantakip sa kamay|One glove is missing.
jacket|noun|A short outer garment|dyaket|Maikling panlabas na damit|He zipped up his jacket.
jeans|noun|Trousers made of denim|maong|Pantalong gawa sa maong|These jeans are worn out.
sandal|noun|A light open shoe|sandalyas|Magaan at bukas na sapatos|Sandals suit hot weather.
scarf|noun|A piece of cloth worn round the neck|bandana|Telang isinusuot sa leeg|She wrapped a scarf round her neck.
skirt|noun|A garment hanging from the waist|palda|Damit na nakalawit mula sa baywang|The skirt is knee length.
sock|noun|A soft covering for the foot|medyas|Malambot na pantakip sa paa|One sock has a hole.
suit|noun|A jacket and trousers of the same cloth|terno|Dyaket at pantalong magkatugma|He wore a dark suit.
trousers|noun|A garment covering both legs|pantalon|Damit na sakop ang dalawang binti|These trousers need pressing.
uniform|noun|Special clothes worn by a group|uniporme|Natatanging damit ng isang grupo|School uniform is compulsory.
waistcoat|noun|A sleeveless garment worn over a shirt|tsaleko|Damit na walang manggas|A waistcoat completes the outfit.

# ---------------- Animals & Plants ----------------
beak|noun|The hard mouth part of a bird|tuka|Matigas na bibig ng ibon|The bird cleaned its beak.
claw|noun|A sharp curved nail on an animal|kuko|Matulis na baluktot na kuko ng hayop|The cat sharpened its claws.
fin|noun|The flat part a fish uses to swim|palikpik|Patag na bahagi ng isda sa paglangoy|The fin broke the surface.
fur|noun|The soft hair covering an animal|balahibo|Malambot na buhok ng hayop|The rabbit has thick fur.
hoof|noun|The hard foot of a horse or cow|kuko ng hayop|Matigas na paa ng kabayo o baka|Check the horse's hoof.
mane|noun|The long hair on a horse's neck|kiling|Mahabang buhok sa leeg ng kabayo|The lion shook its mane.
paw|noun|The foot of an animal with claws|paa ng hayop|Paa ng hayop na may kuko|The dog offered a paw.
tail|noun|The part extending from an animal's body|buntot|Bahaging nakalawit sa katawan ng hayop|The dog wagged its tail.
whisker|noun|A long stiff hair on an animal's face|bigote ng hayop|Mahabang matigas na buhok sa mukha|Cats use whiskers to sense space.
wing|noun|The part a bird uses to fly|pakpak|Bahaging ginagamit sa paglipad|The bird stretched its wing.
bud|noun|A small growth that becomes a flower|usbong|Maliit na tubo na magiging bulaklak|The buds opened in April.
branch|noun|A part growing out from a tree trunk|sanga|Bahaging tumutubo mula sa puno|A branch fell in the storm.
petal|noun|One of the coloured parts of a flower|talulot|Isa sa makukulay na bahagi ng bulaklak|The petals fell overnight.
pollen|noun|Fine powder produced by flowers|polen|Pinong pulbos mula sa bulaklak|Pollen triggers hay fever.
sap|noun|The liquid inside a plant|dagta|Likidong nasa loob ng halaman|Sap runs in early spring.
seed|noun|The part of a plant that grows into a new one|buto|Bahagi ng halamang tinutubuan ng bago|Plant the seed shallowly.
soil|noun|The top layer of earth plants grow in|lupa|Itaas na patong ng lupa|The soil is rich here.
thorn|noun|A sharp point on a plant stem|tinik|Matulis na bahagi ng tangkay|Mind the thorns on the roses.
trunk|noun|The main stem of a tree|puno|Pangunahing katawan ng puno|The trunk is two metres across.

# ---------------- Business & Marketing ----------------
affiliate|noun|A business officially linked to another|kaanib|Negosyong opisyal na kaugnay ng iba|The affiliate handles Asian sales.
audit trail|noun|A record allowing checks on transactions|talaan ng pagsusuri|Talaang nagpapahintulot ng pagsusuri|Keep a clear audit trail.
benchmarking|noun|Comparing performance against a standard|pagsusukat|Paghahambing sa pamantayan|Benchmarking revealed weak areas.
brand loyalty|noun|Customers' habit of buying one brand|katapatan sa tatak|Ugali ng pagbili sa iisang tatak|Brand loyalty is falling.
churn rate|noun|The rate at which customers leave|antas ng pag-alis|Bilis ng pag-alis ng kliyente|Reduce the churn rate.
competitive edge|noun|An advantage over rivals|kalamangan|Bentahe laban sa katunggali|Service is our competitive edge.
conversion rate|noun|The share of visitors who buy|antas ng pagbili|Bahagdan ng bumibili|Our conversion rate improved.
customer base|noun|The group of people who buy from you|mga suki|Grupo ng bumibili sa iyo|The customer base doubled.
demographic segment|noun|A defined group of consumers|segment ng populasyon|Tiyak na grupo ng mamimili|Target the younger demographic segment.
differentiation|noun|Making a product distinct from rivals|pagkakaiba|Paggawang natatangi kumpara sa iba|Differentiation drives price.
distribution channel|noun|The route by which goods reach buyers|daluyan ng pamamahagi|Daanan ng paninda patungo sa mamimili|We added a distribution channel.
due diligence|noun|Careful investigation before a deal|masusing pagsusuri|Maingat na pagsusuri bago ang kasunduan|Do your due diligence first.
feasibility study|noun|A report on whether a plan can work|pag-aaral ng posibilidad|Ulat kung magagawa ba ang plano|Commission a feasibility study.
lead generation|noun|Finding potential new customers|paghahanap ng kliyente|Paghahanap ng posibleng mamimili|Lead generation is automated now.
market share|noun|The portion of sales a company holds|bahagi sa merkado|Bahagi ng benta ng kumpanya|Their market share grew to 20 percent.
niche market|noun|A small specialised group of buyers|natatanging merkado|Maliit at espesyalisadong grupo|They serve a niche market.
outsourcing|noun|Paying another firm to do work|outsourcing|Pagpapagawa sa ibang kumpanya|Outsourcing cut costs.
patent|noun|A legal right protecting an invention|patente|Legal na karapatan sa imbensyon|They filed a patent last year.
pitch to investors|noun|A presentation persuading somebody to buy|panukala|Paglalahad upang manghikayat|She gave a strong pitch to investors.
proposition|noun|An offer or suggested plan|panukala|Alok o iminumungkahing plano|It is an attractive proposition.
prototype model|noun|An early working version of a product|prototipo|Unang gumaganang bersyon ng produkto|Test the prototype model first.
retention|noun|Keeping customers or staff over time|pagpapanatili|Pagpapanatili ng kliyente o kawani|Staff retention has improved.
scalable model|noun|A design able to grow easily|napapalaking modelo|Disenyong madaling palakihin|We need a scalable model.
segmentation|noun|Dividing customers into groups|paghahati|Paghahati ng mamimili sa grupo|Segmentation sharpens messaging.
stock control|noun|Managing the goods a business holds|kontrol sa imbak|Pamamahala sa paninda|Stock control reduces waste.
target audience|noun|The group a message is aimed at|target na manonood|Grupong pinatutungkulan ng mensahe|Know your target audience.
testimonial|noun|A written statement praising a product|patotoo|Nakasulat na papuri sa produkto|Add a customer testimonial.
trademark|noun|A legally registered name or symbol|trademark|Legal na nakarehistrong pangalan o simbolo|The logo is a registered trademark.
value proposition|noun|The reason a customer should buy|halagang inaalok|Dahilan kung bakit dapat bumili|State your value proposition clearly.
viral marketing|noun|Promotion spread rapidly by users|viral na pagmemerkado|Pagpapalaganap sa tulong ng gumagamit|Viral marketing costs little.

# ---------------- Society & Culture ------------
activism|noun|Campaigning to bring about social change|aktibismo|Pangangampanya para sa pagbabago|Student activism grew rapidly.
bureaucrat|noun|An official in a large organisation|burukrata|Opisyal sa malaking organisasyon|A bureaucrat processed the form.
censorship|noun|The banning of parts of books or films|sensura|Pagbabawal sa bahagi ng akda|Censorship limits debate.
charity work|noun|Unpaid work helping others|gawaing kawanggawa|Walang bayad na pagtulong sa iba|She does charity work weekly.
civic duty|noun|A responsibility you owe to society|tungkuling sibiko|Pananagutan sa lipunan|Voting is a civic duty.
class divide|noun|A gap between social groups|agwat ng uri|Puwang sa pagitan ng uri sa lipunan|The class divide widened.
consumerism|noun|The focus on buying goods|konsumerismo|Pagtuon sa pagbili ng paninda|Consumerism drives waste.
demonstration|noun|A public protest by a group|demonstrasyon|Pampublikong protesta ng grupo|A peaceful demonstration filled the square.
elite|noun|The most powerful group in a society|elit|Pinakamakapangyarihang grupo|A small elite holds the land.
etiquette|noun|The rules of polite behaviour|etiketa|Tuntunin ng magandang asal|Table etiquette varies by culture.
folk tradition|noun|A custom passed down among ordinary people|katutubong tradisyon|Kaugaliang minana ng karaniwang tao|The dance is a folk tradition.
grassroots|adjective|Involving ordinary people at a local level|antas-bayan|Kinasasangkutan ng karaniwang tao|It began as a grassroots campaign.
inequality of income|noun|An unfair difference between groups|hindi pagkakapantay|Di-patas na pagkakaiba ng grupo|Inequality of income has grown.
literacy rate|noun|The share of people who can read|antas ng literasiya|Bahagdan ng marunong bumasa|The literacy rate rose steadily.
mobility|noun|The ability to move between places or classes|kadaliang lumipat|Kakayahang lumipat ng lugar o uri|Social mobility has stalled.
philanthropy work|noun|The giving of money to good causes|pagkakawanggawa|Pagbibigay ng pera sa mabuting layunin|Her philanthropy work funds schools.
poverty line|noun|The income below which people are poor|linya ng kahirapan|Kitang itinuturing na mahirap|Millions live below the poverty line.
protest march|noun|A public walk expressing disagreement|martsang protesta|Pampublikong lakad ng pagtutol|The protest march reached parliament.
public opinion|noun|What most people think about an issue|opinyong publiko|Palagay ng karamihan sa isang isyu|Public opinion has shifted.
reform movement|noun|An organised effort to improve a system|kilusang repormista|Samahang naglalayong magpabuti|A reform movement grew quickly.
segregation|noun|The separation of groups of people|paghihiwalay|Paghihiwalay ng mga grupo ng tao|Segregation was abolished by law.
social norm|noun|An expected standard of behaviour|pamantayang panlipunan|Inaasahang asal sa lipunan|Queuing is a social norm here.
stereotype about students|noun|A fixed oversimplified idea about a group|estereotipo|Paunang palagay tungkol sa grupo|That is a lazy stereotype about students.
welfare state|noun|A system where the state supports citizens|estadong pangkalinga|Sistemang sinusuportahan ng estado ang mamamayan|The welfare state expanded after the war.

# ---------------- Travel & Places ----------------
altitude sickness|noun|Illness caused by high elevation|sakit sa taas|Sakit dulot ng mataas na lugar|Altitude sickness struck on day two.
boarding gate|noun|The place where you enter a plane|gate ng sakayan|Lugar ng pagpasok sa eroplano|Proceed to the boarding gate.
check-in desk|noun|Where you register before a flight|check-in|Lugar ng pagpaparehistro bago lumipad|Join the queue at the check-in desk.
connecting flight|noun|A second flight completing a journey|kasunod na lipad|Ikalawang lipad para tapusin ang biyahe|We missed the connecting flight.
currency exchange|noun|A place where money is converted|palitan ng pera|Lugar ng pagpapalit ng salapi|Use the currency exchange downstairs.
duty free|adjective|Sold without import tax|walang buwis|Ibinebenta nang walang buwis|Buy perfume duty free.
excess baggage|noun|Luggage above the allowed weight|sobrang bagahe|Bagaheng lampas sa timbang|Excess baggage costs extra.
expedition to the arctic|noun|A journey made for a purpose|ekspedisyon|Paglalakbay na may layunin|The expedition to the arctic lasted months.
guided tour|noun|A visit led by an expert|paglilibot na may gabay|Pagbisitang pinamumunuan ng eksperto|Join the guided tour at noon.
hospitality industry|noun|The business of hotels and restaurants|industriya ng hospitalidad|Negosyo ng hotel at restawran|The hospitality industry recovered.
itinerary plan|noun|A detailed plan of a journey|plano ng biyahe|Detalyadong plano ng paglalakbay|Print your itinerary plan.
jet lag|noun|Tiredness after crossing time zones|jetlag|Pagod matapos tumawid ng time zone|Jet lag lasted three days.
layover in Dubai|noun|A short stop between flights|paghinto|Maikling paghinto sa pagitan ng lipad|We had a layover in Dubai.
locals|noun|The people who live in a place|taumbayan|Mga taong nakatira sa lugar|Ask the locals for directions.
lodging|noun|A place to stay temporarily|tuluyan|Pansamantalang tirahan|Lodging is included in the price.
nature reserve|noun|Protected land for wildlife|reserba ng kalikasan|Protektadong lupa para sa hayop|The nature reserve shelters rare birds.
off-peak|adjective|At a time that is less busy|hindi abala|Sa panahong hindi abala|Off-peak fares are cheaper.
package holiday|noun|A trip with travel and hotel included|pakete ng bakasyon|Biyaheng kasama ang hotel|They booked a package holiday.
passport control|noun|The place where documents are checked|kontrol sa pasaporte|Lugar ng pagsusuri ng dokumento|Passport control was quick.
scenic route|noun|A road with beautiful views|magandang daan|Daang may magandang tanawin|Take the scenic route home.
transit visa|noun|Permission to pass through a country|transit visa|Pahintulot na dumaan sa bansa|You may need a transit visa.
travel insurance|noun|Cover against problems while travelling|seguro sa biyahe|Proteksyon sa suliranin sa biyahe|Buy travel insurance early.
vacancy at the inn|noun|A room that is available|bakanteng silid|Silid na maaaring tuluyan|There is a vacancy at the inn.
wanderlust|noun|A strong desire to travel|hilig maglakbay|Matinding hangaring maglakbay|Wanderlust took her to Peru.

# ---------------- Useful Verbs ----------------
absolve|verb|To free somebody from blame|palayain sa sisi|Palayain mula sa pananagutan|The report absolved the crew.
accost|verb|To approach and speak to somebody boldly|lapitan|Lapitan at kausapin nang matapang|A stranger accosted him.
acquiesce|verb|To accept something without protest|pumayag|Tanggapin nang walang tutol|She acquiesced to the demand.
admonish gently|verb|To warn or scold somebody mildly|pagsabihan|Sawayin nang mahinahon|He admonished them gently.
allot|verb|To give a share of something|maglaan|Magbigay ng bahagi|Ten minutes are allotted per speaker.
amass|verb|To gather a large amount over time|mag-ipon|Magtipon ng malaking dami|He amassed a fine collection.
ameliorate conditions|verb|To make a bad situation better|pagbutihin|Pabutihin ang masamang kalagayan|Aid ameliorated conditions.
annotate the text|verb|To add explanatory notes|lagyan ng tala|Magdagdag ng paliwanag na tala|Annotate the text as you read.
appraise the work|verb|To judge the value or quality|tasahin|Suriin ang halaga o kalidad|Managers appraise the work yearly.
arbitrate|verb|To settle a dispute as a neutral judge|mamagitan|Magpasya bilang walang kinikilingan|A panel arbitrated the case.
assemble the parts|verb|To fit parts together|buuin|Pagdugtungin ang mga bahagi|Assemble the parts carefully.
assimilate information|verb|To take in and understand|tanggapin at unawain|Kunin at maunawaan|Students assimilate information differently.
attribute the quote|verb|To say who or what caused something|iugnay|Sabihin kung kanino nagmula|Attribute the quote correctly.
belittle|verb|To make somebody seem unimportant|maliitin|Gawing maliit ang tingin sa iba|Never belittle a colleague.
beseech|verb|To ask urgently and emotionally|magmakaawa|Humiling nang taimtim|She beseeched him to stay.
chastise|verb|To criticise somebody severely|pagalitan|Punahin nang mariin|The head chastised the class.
coerce|verb|To force somebody by threats|pilitin|Pilitin sa pamamagitan ng banta|Nobody was coerced into signing.
collaborate on the project|verb|To work jointly with others|magtulungan|Magtrabaho nang magkasama|We collaborate on the project weekly.
commiserate|verb|To express sympathy for somebody|makiramay|Ipahayag ang pakikiramay|Friends commiserated with her.
commission a report|verb|To formally order work to be done|ipagawa|Pormal na mag-utos ng gawain|They commissioned a report.
condone|verb|To accept behaviour that is wrong|palampasin|Tanggapin ang maling asal|We do not condone cheating.
confide|verb|To tell somebody a secret|magtapat|Sabihin ang lihim sa iba|She confided in her sister.
congregate|verb|To gather together in a group|magtipon|Magsama-sama sa isang grupo|Crowds congregated outside.
conjure|verb|To make something appear as if by magic|lumikha|Palitawin na parang mahika|He conjured a solution from nothing.
contrive|verb|To manage to do something difficult|makapagplano|Makagawa ng mahirap na bagay|She contrived to be there.
corroborate the account|verb|To confirm with additional evidence|patunayan|Kumpirmahin gamit ang dagdag na patunay|Two witnesses corroborate the account.
covet|verb|To want something belonging to another|maghangad|Naisin ang pag-aari ng iba|He coveted the corner office.
decry|verb|To publicly criticise something|batikusin|Punahin nang pampubliko|Campaigners decry the cuts.
defuse|verb|To make a tense situation calmer|pakalmahin|Pahupain ang tensyon|Humour defused the argument.
delegate authority|verb|To pass responsibility to others|italaga|Ipasa ang pananagutan sa iba|Learn to delegate authority.
deliberate on the matter|verb|To think or discuss carefully|pag-isipan|Isipin o talakayin nang mabuti|The jury deliberated on the matter.
demarcate|verb|To mark the limits of something|markahan ang hangganan|Tukuyin ang hangganan|Fences demarcate the land.
denigrate|verb|To criticise unfairly and damage a reputation|siraan|Punahin nang di-patas|Do not denigrate rivals.
deprecate|verb|To express disapproval of something|tutulan|Ipahayag ang di-pagsang-ayon|Experts deprecate that practice.
deride|verb|To laugh at somebody with contempt|tuyain|Pagtawanan nang may paghamak|Critics derided the design.
disseminate|verb|To spread information widely|ipalaganap|Ikalat ang impormasyon|We disseminate findings online.
divulge|verb|To reveal private information|ibunyag|Ipaalam ang lihim na impormasyon|He refused to divulge the source.
elucidate the point|verb|To explain something clearly|linawin|Ipaliwanag nang malinaw|Please elucidate the point.
emanate|verb|To come out from a source|magmula|Lumabas mula sa pinagmulan|Warmth emanated from the stove.
embellish|verb|To add details to make something better|palamutian|Dagdagan ng detalye|He embellished the story.
emulate her success|verb|To try to equal somebody by imitation|tularan|Gayahin upang mapantayan|Younger staff emulate her success.
enumerate|verb|To list things one by one|isa-isahin|Ilista nang paisa-isa|Enumerate your reasons.
epitomise|verb|To be a perfect example of something|maglarawan|Maging ganap na halimbawa|She epitomises hard work.
eradicate|verb|To destroy something completely|puksain|Wasakin nang tuluyan|Smallpox was eradicated.
espouse|verb|To support a belief or cause|itaguyod|Suportahan ang paniniwala|He espouses free trade.
exacerbate the problem|verb|To make something worse|palalain|Gawing mas malala|Delays exacerbate the problem.
expound|verb|To explain something in detail|ipaliwanag|Ipaliwanag nang masinsinan|She expounded her theory.
extrapolate|verb|To estimate beyond known data|magpalawig|Tantiyahin lampas sa alam na datos|Do not extrapolate from one case.
fabricate|verb|To invent something false|gawa-gawa|Lumikha ng hindi totoo|He fabricated the entire account.
falter|verb|To lose strength or confidence|manghina|Mawalan ng lakas o tiwala|Her voice faltered.
foment|verb|To stir up trouble deliberately|magsulsol|Sadyang mag-udyok ng gulo|Agitators fomented unrest.
foreshadow|verb|To be a sign of something to come|magpahiwatig|Maging tanda ng darating|The opening foreshadows the ending.
galvanise|verb|To shock somebody into action|pukawin|Pukawin upang kumilos|The defeat galvanised the team.
germinate an idea|verb|To begin to develop|umusbong|Magsimulang lumago|The idea germinated slowly.
glean|verb|To gather information little by little|mangalap|Mangolekta nang paunti-unti|We gleaned facts from letters.
hamper|verb|To make an activity difficult|hadlangan|Pahirapan ang gawain|Fog hampered the search.
harbour doubts|verb|To keep a feeling secretly|magkimkim|Itago ang damdamin|She harbours doubts about it.
imbue|verb|To fill somebody with a quality|punuin|Punuin ng isang katangian|Training imbued them with confidence.
impinge|verb|To have an effect on something|makaapekto|Magkaroon ng epekto|Costs impinge on quality.
inculcate|verb|To fix an idea by repeating it|itanim sa isip|Ituro nang paulit-ulit|Schools inculcate good habits.
indulge|verb|To allow yourself something enjoyable|magpakasasa|Payagan ang sarili sa kasiyahan|Indulge yourself occasionally.
insinuate|verb|To suggest something unpleasant indirectly|ipahiwatig|Ipahiwatig ang masama nang di-tuwiran|Are you insinuating I lied?
instigate|verb|To cause something to begin|pasimulan|Simulan ang isang bagay|Who instigated the change?
interpolate|verb|To insert something between other parts|isingit|Ipasok sa pagitan ng iba|Values were interpolated.
intimidate|verb|To frighten somebody into obeying|takutin|Takutin upang sumunod|Witnesses were intimidated.
inundate|verb|To overwhelm with a large amount|dagsain|Lampasan sa dami|We were inundated with calls.
jeopardise|verb|To put something at risk|ilagay sa panganib|Ilagay sa alanganin|Delays jeopardise the contract.
juxtapose images|verb|To place two things side by side|itabi|Ilagay ang dalawang bagay na magkatabi|The film juxtaposes images of war and peace.
lambast|verb|To criticise somebody harshly|batikusin|Punahin nang matindi|Reviewers lambasted the film.
languish|verb|To remain in an unpleasant state|manghina|Manatili sa masamang kalagayan|The bill languished in committee.
mediate between them|verb|To act between two sides|mamagitan|Kumilos sa pagitan ng dalawa|A neutral party mediated between them.
mollify|verb|To make somebody less angry|pakalmahin|Bawasan ang galit ng iba|An apology mollified the customer.
nullify|verb|To make something legally invalid|pawalang-bisa|Gawing walang bisa|The court nullified the contract.
obfuscate the issue|verb|To make something deliberately unclear|guluhin|Sadyang gawing malabo|Jargon obfuscates the issue.
oscillate|verb|To move or vary regularly between limits|umugoy|Gumalaw nang pabalik-balik|Prices oscillate weekly.
placate the crowd|verb|To make somebody calmer|pakalmahin|Pahupain ang galit|He tried to placate the crowd.
posit|verb|To suggest something as a basis for argument|imungkahi|Ilagay bilang batayan ng katwiran|The paper posits a new cause.
preempt|verb|To act first to prevent something|unahan|Kumilos muna upang maiwasan|They preempted the criticism.
proclaim independence|verb|To announce something officially|ipahayag|Ianunsyo nang opisyal|They proclaimed independence in 1946.
prolong|verb|To make something last longer|pahabain|Gawing mas matagal|Do not prolong the meeting.
promulgate|verb|To make a law or idea widely known|ipalaganap|Ipaalam nang malawakan|The decree was promulgated in May.
quell|verb|To put an end to unrest|supilin|Wakasan ang kaguluhan|Troops quelled the riot.
ratify the treaty|verb|To approve an agreement formally|pagtibayin|Aprubahan nang pormal|Parliament ratified the treaty.
rebuke|verb|To speak sharply to somebody who did wrong|pagalitan|Sawayin nang mariin|The judge rebuked the lawyer.
recount|verb|To tell somebody about an event|isalaysay|Ikuwento ang pangyayari|She recounted the journey.
refrain from comment|verb|To stop yourself from doing something|magpigil|Pigilan ang sarili|Please refrain from comment.
relegate|verb|To move somebody to a lower position|ibaba|Ilipat sa mas mababang posisyon|The club was relegated.
remunerate|verb|To pay somebody for work|bayaran|Bayaran ang gawa ng iba|Volunteers are not remunerated.
repudiate|verb|To refuse to accept something|itakwil|Tumangging tanggapin|He repudiated the agreement.
rescind|verb|To officially cancel a decision|bawiin|Kanselahin nang opisyal|The order was rescinded.
resuscitate|verb|To revive somebody who has stopped breathing|buhayin|Ibalik sa buhay ang huminto sa paghinga|Paramedics resuscitated him.
reverberate|verb|To echo, or to have lasting effects|umalingawngaw|Umalingawngaw o magkaroon ng bisa|The decision reverberated for years.
sanction the plan|verb|To give official approval|aprubahan|Magbigay ng opisyal na pagsang-ayon|The board sanctioned the plan.
scrutinize closely|verb|To examine in careful detail|suriin|Suriin nang masinsinan|Auditors scrutinize the books closely.
squander|verb|To waste money or an opportunity|aksayahin|Sayangin ang pera o pagkakataon|They squandered the lead.
stifle|verb|To prevent something from developing|supilin|Pigilan ang paglago|Rules can stifle creativity.
subjugate|verb|To bring under complete control|supilin|Ilagay sa lubos na kontrol|The empire subjugated the region.
substantiate the claim|verb|To prove with evidence|patunayan|Patunayan gamit ang ebidensya|Substantiate the claim with data.
supplant|verb|To take the place of something older|palitan|Humalili sa mas luma|Email supplanted the fax.
surmise|verb|To guess something from limited evidence|hulaan|Hulaan mula sa kakaunting patunay|I surmise he already knew.
tantalise|verb|To tease by showing something unreachable|tuksuhin|Biruin sa pamamagitan ng di-maabot|The aroma tantalised us.
thwart|verb|To prevent somebody achieving something|hadlangan|Pigilan ang tagumpay ng iba|Bad weather thwarted the attempt.
truncate|verb|To shorten by cutting off the end|putulin|Paikliin sa pagputol ng dulo|The text was truncated.
usurp|verb|To take power or a position unlawfully|agawin|Kunin ang kapangyarihan nang labag sa batas|He usurped the throne.
vacillate|verb|To keep changing your mind|mag-alinlangan|Paulit-ulit na magbago ng isip|The committee vacillated for weeks.
venerate|verb|To respect somebody deeply|igalang|Igalang nang lubusan|Students venerate the founder.
vex|verb|To annoy or worry somebody|inisin|Inisin o alalahanin ang iba|The question vexed him.
vilify|verb|To speak very badly about somebody|siraan|Magsalita nang masama sa iba|The press vilified the family.
wane|verb|To become gradually weaker|humina|Unti-unting manghina|Public interest waned.
warrant further study|verb|To justify or require something|karapat-dapat|Bigyang-katwiran o kailanganin|The results warrant further study.

# ---------------- Useful Adjectives ----------------
adept|adjective|Very skilled at something|bihasa|Napakagaling sa isang bagay|She is adept at negotiation.
adverse weather|adjective|Unfavourable and harmful|masama|Di-kanais-nais at nakapipinsala|Adverse weather closed the port.
aloof manner|adjective|Distant and not friendly|malayo ang loob|Malayo at hindi magiliw|He has an aloof manner.
apt|adjective|Suitable in the circumstances|angkop|Bagay sa sitwasyon|That is an apt description.
arduous journey|adjective|Difficult and tiring|nakakapagod|Mahirap at nakakapagod|It was an arduous journey.
astute observation|adjective|Showing sharp judgement|matalas|Nagpapakita ng matalas na pagpapasya|That is an astute observation.
banal|adjective|Boring because it is too ordinary|karaniwan|Nakakabagot dahil sa pagiging pangkaraniwan|The lyrics are banal.
belated|adjective|Coming later than expected|nahuli|Dumating nang huli sa inaasahan|A belated apology arrived.
benign|adjective|Kind, or not harmful|banayad|Mabait o hindi nakapipinsala|The tumour was benign.
blatant|adjective|Very obvious and shameless|hayagan|Napakahalata at walang hiya|That is a blatant lie.
bleak|adjective|Without hope or comfort|malungkot|Walang pag-asa o ginhawa|The outlook is bleak.
buoyant|adjective|Cheerful, or rising in value|masigla|Masaya o tumataas ang halaga|The market remains buoyant.
categorical|adjective|Stated with absolute certainty|tiyak|Sinabi nang may katiyakan|He gave a categorical denial.
coherent explanation|adjective|Clear and easy to follow|malinaw|Malinaw at madaling sundan|Give a coherent explanation.
commensurate|adjective|Matching in size or degree|katimbang|Katumbas sa laki o antas|Pay is commensurate with experience.
conspicuous absence|adjective|Very noticeable|kapansin-pansin|Napakadaling mapansin|His absence was conspicuous.
contentious|adjective|Likely to cause disagreement|kontrobersyal|Malamang magdulot ng alitan|It is a contentious proposal.
cordial welcome|adjective|Warm and friendly|magiliw|Mainit at palakaibigan|They gave a cordial welcome.
cursory glance|adjective|Quick and without attention to detail|padalus-dalos|Mabilis at walang pansin sa detalye|A cursory glance is not enough.
daunting|adjective|Seeming difficult and frightening|nakakatakot|Mukhang mahirap at nakakatakot|The task looks daunting.
derelict|adjective|Abandoned and in poor condition|pabaya|Iniwan at sira ang kalagayan|The mill stands derelict.
discernible|adjective|Able to be seen or noticed|nakikita|Maaaring mapansin|There is no discernible difference.
dubious|adjective|Doubtful or of questionable quality|kaduda-duda|Nagdududa o kaduda-dudang kalidad|The claim looks dubious.
eloquent speaker|adjective|Speaking fluently and persuasively|matatas|Matatas at nakakahikayat|She is an eloquent speaker.
emphatic|adjective|Expressed with strong feeling|mariin|Ipinahayag nang may lakas|He gave an emphatic no.
