# Format: word | partOfSpeech | English definition | Tagalog translation | Tagalog definition | English example
# Sections below become browsable categories in the app (see tools/build_db.py).

# ---------------- Parts of Speech ----------------
visa|noun|Official permission to enter a country|bisa|Opisyal na pahintulot pumasok sa bansa|Her visa is valid for a year.
passport|noun|An official travel document|pasaporte|Opisyal na dokumento sa paglalakbay|Check that your passport is current.
terminal|noun|A building where journeys begin or end|terminal|Gusali ng simula o dulo ng biyahe|Meet me at terminal two.
transit|noun|The passing through a place on a journey|transit|Pagdaan sa isang lugar sa biyahe|We spent four hours in transit.
layover|noun|A short wait between connecting journeys|paghinto sa biyahe|Maikling paghihintay sa pagitan ng biyahe|The layover is under an hour.
luggage|noun|The bags taken on a journey|bagahe|Mga bag na dala sa biyahe|Leave your luggage at the desk.
reservation|noun|An arrangement made in advance|reserbasyon|Paunang ayos o pagpapareserba|I made a reservation for four.
souvenir|noun|An object kept to remember a place|alaala|Bagay na pang-alaala sa lugar|She bought a small souvenir.
sightseeing|noun|Visiting places of interest|pamamasyal|Pagbisita sa mga tanawin|We spent a day sightseeing.
voyage|noun|A long journey, especially by sea|paglalayag|Mahabang biyahe lalo na sa dagat|The voyage took eleven days.
commute|noun|A regular journey to work|byahe papasok|Regular na biyahe papuntang trabaho|My commute is fifty minutes.
detour|noun|A longer route taken to avoid something|likaw na daan|Mas mahabang daan para makaiwas|A detour added an hour.
fare|noun|The money paid for a journey|pamasahe|Bayad sa sakay|The fare rose in January.
landmark|noun|A well known feature of a place|palatandaan|Kilalang tanawin ng isang lugar|The bridge is a famous landmark.
navigate|verb|To find and follow a route|maglayag o magtakda ng daan|Hanapin at sundan ang tamang ruta|We navigated by the river.
remote|adjective|Far away from towns and people|liblib|Malayo sa bayan at tao|The village is quite remote.
resort|noun|A place people visit for holidays|resort|Lugar na pinupuntahan sa bakasyon|The resort has a small library.
route|noun|The way taken from one place to another|ruta|Daan mula sa isang lugar patungo sa iba|The coastal route is slower.
suburb|noun|A residential area outside a city centre|suburb|Tirahang lugar sa labas ng sentro|They moved to a quiet suburb.
vicinity|noun|The area near a place|kalapit na lugar|Lugar na malapit sa isang pook|There are three cafes in the vicinity.
hospitality|noun|Friendly treatment of guests|pagkamapagbigay|Magiliw na pagtanggap sa panauhin|Their hospitality was remarkable.
checkpoint|noun|A place where travellers are checked|tsekpoynt|Lugar na sinusuri ang naglalakbay|Slow down at the checkpoint.
jetlag|noun|Tiredness from crossing time zones|jetlag|Pagod mula sa pagtawid ng time zone|Jetlag kept me awake at three.
pilgrimage|noun|A journey made for religious reasons|peregrinasyon|Paglalakbay para sa relihiyon|The pilgrimage draws thousands.
province|noun|A large administrative area of a country|lalawigan|Malaking sakop na pook ng bansa|She grew up in the province.
territory|noun|An area of land under a government|teritoryo|Lupaing sakop ng isang pamahalaan|The map shows the disputed territory.
metropolis|noun|A very large busy city|metropolis|Napakalaki at abalang lungsod|The metropolis never fully sleeps.
outskirts|noun|The outer parts of a town|labas ng bayan|Panlabas na bahagi ng bayan|We stayed on the outskirts.
venue|noun|The place where an event is held|pook ng pagtitipon|Lugar ng isang okasyon|The venue seats four hundred.

# ---------------- Society & Culture ----------------
assimilation|noun|Absorbing into a wider culture|pagsasanib sa kultura|Pagsasama sa mas malawak na kultura|Assimilation can erase old customs.
community|noun|A group living in one place or sharing interests|pamayanan|Pangkat na magkakasama o may iisang hangarin|The community raised the funds itself.
custom|noun|A traditional way of behaving|kaugalian|Tradisyunal na paraan ng pag-uugali|It is our custom to remove shoes.
demographic|noun|A section of a population|demograpiko|Bahagi ng populasyon|The magazine targets a young demographic.
discrimination|noun|Unfair treatment based on a difference|diskriminasyon|Hindi patas na pagtrato dahil sa kaibahan|The law bans discrimination at work.
diversity|noun|The presence of many different kinds|pagkakaiba-iba|Pagkakaroon ng iba't ibang uri|Diversity strengthens a team.
equality|noun|The state of being equal in rights|pagkakapantay|Kalagayan ng pantay na karapatan|Equality before the law is basic.
ethics|noun|Moral principles guiding behaviour|etika|Moral na simulaing gabay sa asal|Journalism has a strict code of ethics.
ethnicity|noun|Belonging to a cultural or national group|etnisidad|Pagiging kabilang sa isang kultura o bansa|The form asks about ethnicity.
generation|noun|All the people born around the same time|salinlahi|Lahat ng sabay na isinilang na henerasyon|This generation grew up online.
heritage|noun|Traditions and objects passed down|pamana|Tradisyon at bagay na minana|The town protects its heritage.
identity|noun|The qualities that define who someone is|pagkakakilanlan|Katangiang bumubuo sa pagkatao|Language is part of identity.
immigrant|noun|A person who moves to another country|imigrante|Taong lumipat sa ibang bansa|Immigrants opened half the shops here.
inclusion|noun|The practice of involving everyone|pagsasama|Pagsasali sa lahat nang pantay|Inclusion means designing for all.
indigenous|adjective|Originating naturally in a place|katutubo|Likas na nagmula sa isang lugar|Indigenous plants need less water.
inequality|noun|An unfair difference in wealth or rights|di-pagkakapantay|Hindi patas na agwat sa yaman o karapatan|Inequality widened last decade.
integration|noun|The combining of groups into a whole|integrasyon|Pagsasanib ng mga pangkat sa isang kabuuan|Integration takes years, not months.
justice|noun|Fair treatment according to law|katarungan|Patas na pagtrato ayon sa batas|They campaigned for justice.
literacy|noun|The ability to read and write|literasiya|Kakayahang bumasa at sumulat|Adult literacy classes are free.
minority|noun|A smaller group within a population|minorya|Mas maliit na pangkat sa populasyon|The minority language is taught here.
norm|noun|A standard of behaviour in a group|pamantayan ng asal|Karaniwang inaasahang asal sa grupo|Punctuality is a social norm here.
philanthropy|noun|Giving money and time to good causes|pagkakawanggawa|Pagbibigay ng pera at oras sa kabutihan|Her philanthropy funded the library.
poverty|noun|The state of having very little money|kahirapan|Kalagayan ng kakulangan sa salapi|The programme aims to reduce poverty.
prejudice|noun|An opinion formed without knowledge|pagtatangi|Opinyong walang batayang kaalaman|Prejudice fades with contact.
privilege|noun|An advantage held by some people|pribilehiyo|Kalamangang tinatamasa ng iilan|He acknowledged his privilege.
ritual|noun|A set of actions performed in order|ritwal|Sunod-sunod na kilos na isinasagawa|The harvest ritual lasts two days.
secular|adjective|Not connected with religion|sekular|Walang kaugnayan sa relihiyon|Secular schools teach comparative religion.
solidarity|noun|Unity based on shared interests|pagkakaisa|Pagkakaisa dulot ng iisang hangarin|The workers acted in solidarity.
stereotype|noun|A fixed oversimplified idea about a group|estereotipo|Nakapirming payak na palagay sa isang grupo|The film avoids the usual stereotypes.
stigma|noun|Strong social disapproval of something|estigma|Matinding pagtutol ng lipunan sa isang bagay|Stigma stops people seeking help.
taboo|noun|Something forbidden by social custom|bawal sa kaugalian|Bagay na ipinagbabawal ng kaugalian|Money talk is a taboo in some homes.
tradition|noun|A custom passed through generations|tradisyon|Kaugaliang minana sa salinlahi|The tradition began in the 1920s.
urbanisation|noun|The growth of towns and cities|urbanisasyon|Paglaki ng bayan at lungsod|Urbanisation changed the coastline.
welfare|noun|The health and wellbeing of people|kapakanan|Kalusugan at kabutihan ng tao|The charity protects child welfare.
folklore|noun|Traditional stories and beliefs|alamat|Katutubong kuwento at paniniwala|Local folklore explains the rock.
kinship|noun|Family relationship and connection|pagkakamag-anak|Ugnayan ng magkakapamilya|Kinship ties remain strong here.
census data|noun|Population figures collected officially|datos ng senso|Opisyal na bilang ng populasyon|Census data guided the budget.
migration policy|noun|Government rules on people moving|patakaran sa paglipat|Alituntunin ng pamahalaan sa paglipat ng tao|Migration policy changed twice.
civic|adjective|Relating to a city or its citizens|sibiko|May kinalaman sa lungsod o mamamayan|Voting is a civic duty.
philanthropist|noun|A person who gives generously|mapagkawanggawa|Taong bukas-palad magbigay|A philanthropist funded the wing.

# ---------------- Health & Medicine ----------------
ailment|noun|A minor illness|karamdaman|Hindi malubhang sakit|A common ailment kept him home.
antibiotic|noun|A medicine that kills bacteria|antibiyotiko|Gamot na pumapatay ng bakterya|Finish the antibiotic course.
antibody|noun|A protein that fights infection|antibody|Protinang lumalaban sa impeksyon|Antibodies appear after a week.
chronic|adjective|Lasting for a long time|talamak|Matagal at paulit-ulit|Chronic pain needs a long plan.
contagious|adjective|Able to spread from person to person|nakakahawa|Kayang kumalat mula sa tao patungo sa tao|Measles is highly contagious.
diagnosis|noun|The identification of an illness|diyagnosis|Pagtukoy sa uri ng sakit|The diagnosis came after two scans.
dosage|noun|The amount of medicine to take|dosis|Dami ng gamot na dapat inumin|Follow the dosage on the label.
epidemic|noun|A rapid spread of disease in an area|epidemya|Mabilis na pagkalat ng sakit sa isang lugar|The epidemic peaked in March.
pandemic|noun|A disease spread across many countries|pandemya|Sakit na kumakalat sa maraming bansa|The pandemic changed how we work.
hygiene|noun|Practices that keep you clean and healthy|kalinisan|Gawaing nagpapanatili ng kalinisan|Hand hygiene prevents infection.
infection|noun|Illness caused by germs entering the body|impeksyon|Sakit dulot ng mikrobyong pumasok|The wound became infected.
inflammation|noun|Swelling and redness in body tissue|pamamaga|Pamamaga at pamumula ng bahagi ng katawan|Ice reduces inflammation.
insomnia|noun|Difficulty in sleeping|hindi makatulog|Kahirapan sa pagtulog|Caffeine worsens her insomnia.
malnutrition|noun|Lack of proper nourishment|malnutrisyon|Kakulangan sa tamang sustansya|The clinic screens for malnutrition.
nausea|noun|The feeling of wanting to vomit|pagduduwal|Pakiramdam na gustong sumuka|Nausea passed after an hour.
nutrition|noun|The process of getting the right food|nutrisyon|Proseso ng pagkuha ng tamang pagkain|Good nutrition supports recovery.
prescription|noun|A doctor's written order for medicine|reseta|Nakasulat na utos ng doktor sa gamot|Collect the prescription today.
prognosis|noun|The likely course of an illness|prognosis|Inaasahang takbo ng sakit|The prognosis is encouraging.
quarantine|noun|Isolation to stop disease spreading|kuwarantina|Paghihiwalay upang hindi kumalat ang sakit|They spent ten days in quarantine.
rehabilitation|noun|Treatment to restore health or ability|rehabilitasyon|Panggagamot upang manumbalik ang lakas|Rehabilitation took four months.
relapse|noun|A return of illness after improvement|pagbalik ng sakit|Pagbalik ng sakit matapos gumaling|A relapse delayed her return.
remedy|noun|A treatment for a problem or illness|lunas|Panlunas sa problema o sakit|Ginger tea is a home remedy.
respiratory|adjective|Relating to breathing|respiratoryo|May kinalaman sa paghinga|Smoke causes respiratory problems.
sanitation|noun|Systems for clean water and waste|sanitasyon|Sistema ng malinis na tubig at basura|Better sanitation cut disease rates.
sedentary|adjective|Involving much sitting and little exercise|palaupo|Maraming pag-upo at kaunting kilos|A sedentary job needs daily walks.
surgery|noun|Medical treatment involving cutting|opersayon|Panggagamot na may paghiwa|The surgery lasted three hours.
symptom|noun|A sign that indicates an illness|sintomas|Palatandaan ng isang sakit|A cough is a common symptom.
syndrome|noun|A group of symptoms occurring together|sindrom|Pangkat ng sabay-sabay na sintomas|The syndrome was described in 1980.
therapy|noun|Treatment intended to heal|terapiya|Panggagamot na naglalayong magpagaling|Speech therapy helped a great deal.
transmission|noun|The passing of disease between people|paghahawa|Paglipat ng sakit sa ibang tao|Masks reduce transmission.
trauma|noun|Serious physical or emotional injury|trauma|Malubhang pinsala sa katawan o damdamin|The trauma team was ready.
vaccination|noun|The giving of a vaccine|pagbabakuna|Pagbibigay ng bakuna|Vaccination begins next week.
dehydration|noun|A harmful lack of water in the body|dehidrasyon|Mapanganib na kakulangan ng tubig sa katawan|Dehydration causes headaches.
fatigue|noun|Extreme and lasting tiredness|panghihina|Matagal at matinding pagod|Fatigue is a common symptom.
immune|adjective|Protected against a disease|imyun|Protektado laban sa isang sakit|She is immune after the illness.
wellbeing|noun|The state of being comfortable and healthy|kagalingan|Kalagayan ng kaginhawaan at kalusugan|The policy supports staff wellbeing.
physician|noun|A doctor of general medicine|manggagamot|Doktor ng pangkalahatang panggagamot|Ask your physician about the dose.
placebo|noun|A harmless substance given as a test|plasebo|Walang bisang gamot na ginagamit sa pagsubok|Half the group received a placebo.
outbreak|noun|A sudden appearance of disease|pagsiklab ng sakit|Biglaang paglitaw ng sakit|An outbreak closed two wards.
recovery|noun|The return to normal health|paggaling|Pagbabalik sa dating kalusugan|His recovery was quicker than expected.

# ---------------- Useful Verbs ----------------
accomplish|verb|To succeed in doing something|matupad|Matagumpay na maisagawa|We accomplished the task in a day.
acquire|verb|To gain possession of something|makuha|Magkaroon o magmay-ari ng bagay|The museum acquired two paintings.
adapt|verb|To change to suit new conditions|umangkop|Magbago ayon sa bagong kalagayan|Plants adapt to dry seasons.
adjust|verb|To make a small change for a better fit|iayos|Gumawa ng maliit na pagbabago|Adjust the strap before you ride.
allocate|verb|To set aside for a purpose|maglaan|Magtabi para sa isang layunin|We allocated funds for repairs.
anticipate|verb|To expect and prepare for something|asahan|Inaasahan at paghandaan|Anticipate questions from the panel.
appreciate|verb|To value something or someone|pahalagahan|Kilalanin ang halaga ng bagay o tao|I appreciate your patience.
assemble|verb|To put parts together, or to gather|tipunin|Pagsamahin ang bahagi o magtipon|Assemble the frame first.
assign|verb|To give a task or role to someone|italaga|Ibigay ang gawain sa isang tao|She assigned the review to me.
attain|verb|To reach a goal by effort|makamit|Marating ang layunin sa pagsisikap|He attained the highest grade.
attribute|verb|To say something is caused by|iugnay|Sabihing dulot ng isang bagay|They attribute the rise to weather.
calculate|verb|To work out an amount|kalkulahin|Tuusin ang halaga o dami|Calculate the total including tax.
challenge|verb|To question or dispute something|hamunin|Kwestyunin o tutulan|She challenged the assumption.
collaborate closely|verb|To work jointly with real coordination|magtulungan nang malapitan|Magtulungan nang maayos at malapitan|The two departments collaborate closely.
combine|verb|To join two or more things|pagsamahin|Isama ang dalawa o higit pa|Combine the figures into one table.
commit|verb|To promise yourself to a course of action|mangako|Italaga ang sarili sa isang gawain|We committed to a monthly review.
compensate|verb|To make up for a loss|magbayad-pinsala|Punan ang nawala o nasira|The firm compensated the family.
compile|verb|To collect and arrange information|tipunin|Kalapin at ayusin ang impormasyon|She compiled the results overnight.
comprise|verb|To consist of certain parts|binubuo ng|Binubuo ng ilang bahagi|The set comprises four volumes.
conduct|verb|To carry out an activity|isagawa|Gawin ang isang aktibidad|They conducted a short survey.
consult|verb|To seek advice or information from|sumangguni|Humingi ng payo o impormasyon|Consult the manual before you start.
contribute|verb|To give a share toward something|mag-ambag|Magbigay ng bahagi sa isang bagay|Everyone contributed to the gift.
convert|verb|To change from one form to another|gawing iba|Baguhin ang anyo o uri|Convert the file to a PDF.
cope|verb|To deal successfully with difficulty|makayanan|Malampasan ang hirap|She copes well under pressure.
dedicate|verb|To give time or effort wholly to something|italaga|Ibigay ang oras at lakas sa isang bagay|He dedicated a year to the project.
deteriorate|verb|To become worse over time|lumala|Unti-unting sumama ang kalagayan|The road deteriorated after the floods.
determine|verb|To find out or decide definitely|matukoy|Malaman o tiyakin nang lubusan|Tests determine the cause.
devise|verb|To plan or invent something|makabuo|Bumuo o mag-isip ng paraan|They devised a simpler method.
diminish|verb|To become or make smaller|bumaba|Bumaba o bawasan ang dami|Interest diminished after a month.
disclose|verb|To make information known|ibunyag|Ipaalam ang impormasyon|The report discloses the full cost.
dispute|verb|To argue against something|tutulan|Kwestyunin o labanan ang isang bagay|They dispute the figures.
distribute|verb|To give out among several people|ipamahagi|Ibigay sa maraming tao|Distribute the forms at the door.
emphasise|verb|To give special importance to|bigyang-diin|Bigyan ng natatanging halaga|I want to emphasise one point.
enhance|verb|To improve the quality of something|pagandahin|Pahusayin ang kalidad|Better light enhances the photo.
ensure|verb|To make certain that something happens|tiyakin|Siguruhing mangyayari ang isang bagay|Ensure the door is locked.
estimate|verb|To judge an amount roughly|tantiyahin|Tayahin ang dami nang tantiya|Estimate the cost before you order.
exceed|verb|To go beyond a limit|lumagpas|Lumampas sa hangganan|Sales exceeded the target.
exclude|verb|To leave out or keep out|hindi isama|Iwanan o huwag isama|The price excludes delivery.
exploit|verb|To make full use of, sometimes unfairly|samantalahin|Gamitin nang lubos, minsan nang hindi patas|They exploited a gap in the rules.
facilitate|verb|To make a process easier|padaliin|Gawing mas madali ang proseso|Good notes facilitate revision.
fluctuate|verb|To rise and fall irregularly|pabagu-bago|Tumaas at bumaba nang pabago-bago|Prices fluctuate each season.
foster|verb|To encourage the growth of something|linangin|Pasiglahin ang paglago ng isang bagay|Reading fosters imagination.
generate|verb|To produce or create something|lumikha|Gumawa o magbunga ng isang bagay|The stall generates steady income.
grasp|verb|To understand fully|maunawaan|Lubusang maintindihan|She grasped the idea at once.
hinder|verb|To slow down or block progress|hadlangan|Pigilan o pabagalin ang pag-usad|Heavy rain hindered the search.
identify|verb|To recognise and name something|tukuyin|Kilalanin at pangalanan|Identify the main risks first.
implement carefully|verb|To carry out a plan with care|maingat na isakatuparan|Isagawa ang plano nang maingat|Implement the changes carefully.
impose|verb|To force something on others|ipataw|Ipilit sa iba ang isang bagay|The council imposed a fine.
incorporate|verb|To include as part of a whole|isama|Isama bilang bahagi ng kabuuan|We incorporated your feedback.
inherit|verb|To receive from someone before you|magmana|Tumanggap mula sa nauna sa iyo|She inherited the shop from her aunt.
initiate|verb|To begin something formally|simulan|Pormal na simulan ang isang bagay|They initiated a review.
integrate|verb|To combine into a working whole|pagsamahin|Pagsanibin sa isang gumaganang kabuuan|Integrate the two systems slowly.
maintain|verb|To keep in good condition|panatilihin|Ingatan at panatilihing maayos|Maintain the equipment monthly.
manipulate|verb|To handle or control skilfully or unfairly|manipulahin|Gamitin nang mahusay o mapanlinlang|Do not manipulate the numbers.
minimise|verb|To reduce to the smallest amount|bawasan|Gawing pinakamaliit ang dami|Minimise the waiting time.
modify|verb|To make partial changes to something|baguhin|Gumawa ng bahagyang pagbabago|We modified the design twice.
monitor|verb|To observe over a period of time|subaybayan|Bantayan sa loob ng panahon|Monitor the temperature hourly.
neglect|verb|To fail to care for something|pabayaan|Hindi bigyan ng kailangang pansin|The building was neglected for years.
obtain|verb|To get something you sought|makuha|Matamo ang hinahanap na bagay|Obtain written permission first.
overcome|verb|To succeed in dealing with a problem|malampasan|Matagumpay na malutas ang balakid|She overcame her fear of flying.
perceive|verb|To become aware of through the senses|mahiwatigan|Mapansin sa pamamagitan ng pandama|We perceive colour differently.
persist|verb|To continue firmly despite difficulty|magpumilit|Magpatuloy sa kabila ng hirap|The problem persists after the update.
postpone|verb|To move to a later time|ipagpaliban|Ilipat sa mas huling panahon|The hearing was postponed.
preserve|verb|To keep something in its original state|pangalagaan|Ingatan sa orihinal na kalagayan|Salt preserves the fish.
prevent|verb|To stop something from happening|pigilan|Hadlangan bago mangyari|Vaccines prevent serious illness.
prohibit|verb|To formally forbid something|ipagbawal|Pormal na ipagbawal|Signs prohibit swimming here.
pursue|verb|To follow or seek over time|itaguyod|Habulin o ipagpatuloy sa panahon|She pursued a degree part time.
recommend strongly|verb|To advise firmly in favour of|mariing imungkahi|Buong tiwalang imungkahi|I recommend the earlier flight strongly.
reconcile|verb|To make two things or people agree|magkasundo|Pagkasunduin ang dalawang panig|The figures do not reconcile.
regulate|verb|To control by rules|isaayos ayon sa tuntunin|Kontrolin sa pamamagitan ng alituntunin|The agency regulates the market.
reinforce|verb|To strengthen or support|patatagin|Palakasin o suportahan|Repetition reinforces learning.
resolve|verb|To settle a problem firmly|lutasin|Tapusin ang problema nang tiyak|We resolved the dispute quietly.
restore|verb|To return something to its former state|isauli|Ibalik sa dating kalagayan|They restored the old chapel.
retain|verb|To keep possession of something|panatilihin|Manatiling may hawak ng bagay|Retain your receipt for a year.
retrieve|verb|To get something back|bawiin|Kunin muli ang isang bagay|I retrieved the file from backup.
reveal|verb|To make something known or visible|ihayag|Ipakita o ipaalam ang bagay|The survey reveals a clear trend.
scrutinise|verb|To examine very closely|suriing mabuti|Tingnan nang napakaingat|Auditors scrutinise every claim.
speculate|verb|To guess without full evidence|maghinala|Manghula nang walang buong patunay|It is unwise to speculate now.
strive|verb|To try very hard|magsumikap|Magpursigi nang husto|We strive to reply within a day.
substitute|verb|To use one thing in place of another|palitan|Gumamit ng ibang bagay kapalit|Substitute honey for sugar.
suppress|verb|To hold back or stop by force|sugpuin|Pigilan o hadlangan nang mariin|He suppressed a smile.
sustain|verb|To keep something going over time|panatilihin|Ipagpatuloy sa mahabang panahon|Can we sustain this pace.
undermine|verb|To weaken gradually and secretly|sirain nang palihim|Unti-unti at palihim na panghinaan|Gossip undermines trust.
undertake|verb|To commit to and begin a task|isagawa|Panagutan at simulan ang gawain|They undertook a full review.
utilise|verb|To make practical use of something|gamitin|Gamitin sa praktikal na paraan|Utilise the space under the stairs.
validate|verb|To confirm that something is correct|patunayan|Kumpirmahin na tama ang bagay|Validate the entries before saving.
verify|verb|To check that something is true|beripikahin|Suriin kung totoo ang isang bagay|Verify the address by phone.
withdraw|verb|To take back or remove|bawiin|Kunin pabalik o alisin|He withdrew the complaint.
yield ground|verb|To give way under pressure|magbigay-daan|Sumuko sa ilalim ng presyon|Neither side would yield ground.

# ---------------- Useful Adjectives ----------------
abundant|adjective|Present in great quantity|sagana|Napakarami at hindi kulang|Rain is abundant in July.
accessible|adjective|Easy to reach or understand|madaling marating|Madaling puntahan o unawain|The guide is written in accessible language.
adequate|adjective|Enough for the purpose|sapat|Sapat para sa layunin|The lighting is adequate for reading.
adjacent|adjective|Next to and joining something|katabi|Nasa tabi at magkadikit|The car park is adjacent to the hall.
affluent|adjective|Having plenty of money|maykaya|Maluwag ang buhay at may salapi|The scheme also serves affluent areas.
ambitious|adjective|Having a strong desire to succeed|may mataas na pangarap|May matinding hangaring magtagumpay|It is an ambitious but sound plan.
ample|adjective|More than enough|masagana|Higit pa sa sapat|There is ample time to prepare.
apparent|adjective|Clear or seeming to be true|maliwanag|Malinaw o tila totoo|The reason soon became apparent.
appropriate|adjective|Suitable for the occasion|angkop|Bagay sa okasyon|Choose appropriate footwear.
authentic|adjective|Genuine and not a copy|tunay|Totoo at hindi huwad|The recipe is authentic.
beneficial|adjective|Producing a good result|kapaki-pakinabang|Nagdudulot ng mabuting resulta|Short walks are beneficial.
capable|adjective|Having the ability to do something|may kakayahan|May sapat na kakayahan|She is capable of leading this.
cautious|adjective|Careful to avoid risk|maingat|Nag-iingat upang maiwasan ang panganib|Be cautious on wet tiles.
chaotic|adjective|Completely disordered|magulo|Walang kaayusan at magulo|The first hour was chaotic.
comparable|adjective|Similar enough to be compared|maihahambing|Sapat ang pagkakatulad para ikumpara|The two offers are comparable.
competent|adjective|Having the needed skill|may kasanayan|May sapat na kakayahan sa gawain|A competent driver stays calm.
comprehensive|adjective|Covering everything needed|masaklaw|Sakop ang lahat ng kailangan|The report is comprehensive.
conscious|adjective|Aware of something|may kamalayan|May malay o kamalayan sa bagay|I am conscious of the time.
considerable|adjective|Large in size or amount|malaki|Malaki ang sukat o dami|That took considerable effort.
contemporary|adjective|Belonging to the present time|kontemporaryo|Kabilang sa kasalukuyang panahon|The gallery shows contemporary art.
controversial|adjective|Causing strong disagreement|kontrobersyal|Nagdudulot ng matinding pagtatalo|It was a controversial ruling.
conventional|adjective|Following accepted practice|karaniwan|Sumusunod sa tinatanggap na gawi|We took the conventional route.
crucial|adjective|Extremely important to an outcome|napakahalaga|Lubhang mahalaga sa resulta|The first hour is crucial.
deliberate|adjective|Done on purpose|sinasadya|Ginawa nang may layunin|It was a deliberate choice.
dependent|adjective|Relying on someone or something|umaasa|Nakasalalay sa iba|The result is dependent on rainfall.
diverse|adjective|Showing much variety|iba-iba|May maraming iba't ibang uri|The city has a diverse population.
dominant|adjective|Most powerful or noticeable|nangingibabaw|Pinakamalakas o pinakatampok|Blue is the dominant colour here.
drastic|adjective|Extreme in effect|matindi|Napakalaki ang epekto|They took drastic measures.
durable|adjective|Able to last a long time|matibay|Kayang tumagal nang matagal|Choose a durable fabric.
dynamic|adjective|Full of energy and change|masigla|Puno ng sigla at pagbabago|It is a dynamic market.
eligible|adjective|Qualified to be chosen|karapat-dapat|May karapatang mapili|Are you eligible for the grant.
eminent|adjective|Famous and respected in a field|kilala at iginagalang|Bantog at iginagalang sa larangan|An eminent surgeon led the team.
essential|adjective|Absolutely necessary|mahalaga|Talagang kailangan|Water is essential for the trip.
ethical|adjective|Morally right|etikal|Naaayon sa moral na tama|That was the ethical choice.
excessive|adjective|More than is reasonable|labis|Higit sa nararapat|The noise was excessive.
extensive|adjective|Covering a large area or range|malawak|Malawak ang saklaw|She has extensive experience.
familiar|adjective|Well known from earlier experience|pamilyar|Kilala na mula sa dating karanasan|The name sounds familiar.
fertile|adjective|Able to produce good growth|mataba|May kakayahang magpatubo nang husto|The valley soil is fertile.
flexible|adjective|Able to change to suit needs|nababaluktot|Kayang magbago ayon sa pangangailangan|Our hours are flexible.
fragile|adjective|Easily broken|marupok|Madaling mabasag o masira|Handle the box, it is fragile.
frequent|adjective|Happening often|madalas|Nangyayari nang malimit|Frequent breaks help concentration.
fundamental|adjective|Forming a necessary base|pangunahin|Bumubuo sa kailangang saligan|This is a fundamental principle.
generous|adjective|Willing to give freely|bukas-palad|Handang magbigay nang malaya|A generous donation arrived.
gradual|adjective|Happening slowly over time|unti-unti|Dahan-dahan sa paglipas ng panahon|There was a gradual improvement.
hazardous|adjective|Involving risk or danger|delikado|May kaakibat na panganib|Wet floors are hazardous.
hostile|adjective|Unfriendly and opposed|palaban|Hindi magiliw at tutol|The audience turned hostile.
identical|adjective|Exactly the same|magkatulad na magkatulad|Ganap na magkapareho|The twins wore identical shirts.
immense|adjective|Extremely large|napakalaki|Sobrang laki|The response was immense.
inevitable|adjective|Certain to happen|hindi maiiwasan|Tiyak na mangyayari|Some delay is inevitable.
inherent|adjective|Existing as a natural part|likas|Likas na bahagi ng isang bagay|There is an inherent risk.
initial|adjective|Occurring at the beginning|panimula|Nangyayari sa simula|The initial results look good.
intense|adjective|Very strong in degree|matindi|Napakalakas ng antas|The heat was intense at noon.
intricate|adjective|Having many small connected parts|masalimuot|May maraming maliliit na magkaugnay na bahagi|The carving is intricate.
intrinsic|adjective|Belonging naturally to something|likas|Likas na taglay ng isang bagay|Curiosity has intrinsic value.
legitimate|adjective|Lawful and justified|makatwiran|Naaayon sa batas at makatarungan|That is a legitimate concern.
lenient|adjective|More merciful than expected|maluwag|Mas mahabagin kaysa inaasahan|The penalty was lenient.
marginal|adjective|Very small and of little effect|napakaliit|Napakaliit at halos walang epekto|The gain was marginal.
mature|adjective|Fully developed in mind or body|may gulang|Ganap na nahubog sa isip o katawan|She gave a mature response.
moderate|adjective|Average in amount or degree|katamtaman|Nasa gitna ang dami o antas|Moderate exercise is enough.
modest|adjective|Not large, or not boastful|katamtaman|Hindi malaki o hindi mayabang|They live in a modest house.
mutual|adjective|Shared by two or more people|magkatuwang|Nararanasan o ibinabahagi ng dalawa|The respect is mutual.
numerous|adjective|Very many|maraming-marami|Napakarami|There were numerous complaints.
obvious|adjective|Easy to see or understand|halata|Madaling makita o unawain|The answer is obvious now.
outstanding|adjective|Exceptionally good, or still unpaid|natatangi|Pambihirang husay o hindi pa bayad|Her work was outstanding.
overwhelming|adjective|Very great in effect or number|nakalulula|Napakalaki at nakadaraig|The support was overwhelming.
peculiar|adjective|Strange or belonging only to one thing|kakaiba|Kakatwa o natatangi sa isang bagay|The smell is peculiar.
permanent|adjective|Lasting without end|permanente|Nagtatagal nang walang katapusan|The change is permanent.
persistent|adjective|Continuing firmly over time|matiyaga|Patuloy at hindi sumusuko|A persistent cough needs attention.
plausible|adjective|Seeming reasonable or probable|kapani-paniwala|Tila makatuwiran o malamang|That is a plausible explanation.
potential|adjective|Capable of becoming so in future|potensyal|May kakayahang maging ganoon balang araw|We identified two potential sites.
practical|adjective|Useful in real situations|praktikal|Kapaki-pakinabang sa tunay na buhay|Give practical examples.
predominant|adjective|Present as the main element|nangingibabaw|Siyang pangunahing bahagi|Fishing is the predominant trade.
preliminary|adjective|Coming before the main part|paunang|Nauuna sa pangunahing bahagi|These are preliminary findings.
prevalent|adjective|Widespread in a place or time|laganap|Malawakang matatagpuan|The practice is prevalent here.
